"","treatment","metric","value","expt","population"
"6041","1_2_1","fecundity",36,5,NA
"6051","3_3_1","fecundity",45,5,NA
"6061","3_3_1","fecundity",14,5,NA
"6071","3_3_1","fecundity",36,5,NA
"6081","3_3_1","fecundity",22,5,NA
"6091","3_3_1","fecundity",31,5,NA
"6103","3_3_1","fecundity",19,5,NA
"6113","3_3_1","fecundity",33,5,NA
"6121","3_3_1","fecundity",22,5,NA
"6131","3_3_1","fecundity",26,5,NA
"6141","3_3_1","fecundity",20,5,NA
"6151","3_3_1","fecundity",20,5,NA
"6161","3_3_1","fecundity",37,5,NA
"6171","3_3_1","fecundity",22,5,NA
"6181","3_3_1","fecundity",16,5,NA
"6191","3_3_1","fecundity",26,5,NA
"6201","3_3_1","fecundity",25,5,NA
"6213","3_3_1","fecundity",39,5,NA
"6221","3_3_1","fecundity",31,5,NA
"6231","3_3_1","fecundity",30,5,NA
"6241","3_3_1","fecundity",35,5,NA
"6251","3_3_1","fecundity",24,5,NA
"6261","3_3_1","fecundity",37,5,NA
"6271","2_2_1","fecundity",22,5,NA
"6281","2_2_1","fecundity",14,5,NA
"6291","2_2_1","fecundity",30,5,NA
"6301","2_2_1","fecundity",26,5,NA
"6313","2_2_1","fecundity",28,5,NA
"6321","2_2_1","fecundity",53,5,NA
"6331","2_2_1","fecundity",44,5,NA
"6341","2_2_1","fecundity",34,5,NA
"6351","2_2_1","fecundity",24,5,NA
"6361","2_2_1","fecundity",50,5,NA
"6371","2_2_1","fecundity",41,5,NA
"6381","2_2_1","fecundity",35,5,NA
"6391","2_2_1","fecundity",32,5,NA
"6401","2_2_1","fecundity",22,5,NA
"6413","2_2_1","fecundity",39,5,NA
"6421","2_2_1","fecundity",39,5,NA
"6431","2_2_1","fecundity",6,5,NA
"6441","2_2_1","fecundity",16,5,NA
"6451","2_2_1","fecundity",38,5,NA
"6461","2_2_1","fecundity",9,5,NA
"6471","2_2_1","fecundity",7,5,NA
"6481","2_2_1","fecundity",24,5,NA
"6491","2_2_1","fecundity",37,5,NA
"6501","2_2_1","fecundity",19,5,NA
"6513","3_2_1","fecundity",45,5,NA
"6521","3_2_1","fecundity",41,5,NA
"6531","3_2_1","fecundity",28,5,NA
"6541","3_2_1","fecundity",2,5,NA
"6551","3_2_1","fecundity",47,5,NA
"6561","3_2_1","fecundity",18,5,NA
"6571","3_2_1","fecundity",22,5,NA
"6581","3_2_1","fecundity",32,5,NA
"6591","3_2_1","fecundity",15,5,NA
"6601","3_2_1","fecundity",35,5,NA
"6613","3_2_1","fecundity",17,5,NA
"6621","3_2_1","fecundity",8,5,NA
"6631","3_2_1","fecundity",26,5,NA
"6641","3_2_1","fecundity",30,5,NA
"6651","3_2_1","fecundity",34,5,NA
"6661","3_2_1","fecundity",52,5,NA
"6671","3_2_1","fecundity",19,5,NA
"6681","3_2_1","fecundity",69,5,NA
"6691","3_2_1","fecundity",41,5,NA
"6701","3_2_1","fecundity",14,5,NA
"6713","3_2_1","fecundity",43,5,NA
"6721","3_2_1","fecundity",32,5,NA
"6731","3_2_1","fecundity",22,5,NA
"6741","3_2_1","fecundity",56,5,NA
"6751","3_2_1","fecundity",32,5,NA
"6761","3_2_1","fecundity",48,5,NA
"6771","3_2_1","fecundity",49,5,NA
"6781","3_2_1","fecundity",19,5,NA
"6791","2_3_1","fecundity",32,5,NA
"6801","2_3_1","fecundity",29,5,NA
"6813","2_3_1","fecundity",34,5,NA
"6821","2_3_1","fecundity",35,5,NA
"6831","2_3_1","fecundity",14,5,NA
"6841","2_3_1","fecundity",43,5,NA
"6851","2_3_1","fecundity",18,5,NA
"6861","2_3_1","fecundity",57,5,NA
"6871","2_3_1","fecundity",7,5,NA
"6881","2_3_1","fecundity",3,5,NA
"6891","2_3_1","fecundity",50,5,NA
"6901","2_3_1","fecundity",38,5,NA
"6913","2_3_1","fecundity",20,5,NA
"6921","2_3_1","fecundity",23,5,NA
"6931","2_3_1","fecundity",26,5,NA
"6941","2_3_1","fecundity",27,5,NA
"6951","2_3_1","fecundity",53,5,NA
"6961","2_3_1","fecundity",17,5,NA
"6971","2_3_1","fecundity",18,5,NA
"6981","2_3_1","fecundity",36,5,NA
"6991","2_3_1","fecundity",6,5,NA
"7001","2_3_1","fecundity",39,5,NA
"7013","2_3_1","fecundity",27,5,NA
"7021","2_3_1","fecundity",41,5,NA
"7031","2_3_1","fecundity",22,5,NA
"7041","2_3_1","fecundity",61,5,NA
"7051","2_3_1","fecundity",48,5,NA
"7061","2_3_1","fecundity",52,5,NA
"7071","2_3_1","fecundity",20,5,NA
"7081","2_3_1","fecundity",43,5,NA
"7091","2_3_1","fecundity",48,5,NA
"7103","3_1_2","fecundity",54,5,NA
"7113","3_1_2","fecundity",32,5,NA
"7121","3_1_2","fecundity",13,5,NA
"7131","3_1_2","fecundity",28,5,NA
"7141","3_1_2","fecundity",12,5,NA
"7151","3_1_2","fecundity",38,5,NA
"7161","3_1_2","fecundity",43,5,NA
"7171","3_1_2","fecundity",10,5,NA
"7181","3_1_2","fecundity",17,5,NA
"7191","3_1_2","fecundity",39,5,NA
"7201","3_1_2","fecundity",9,5,NA
"7213","3_1_2","fecundity",37,5,NA
"7221","3_1_2","fecundity",23,5,NA
"7231","3_1_2","fecundity",35,5,NA
