"","treatment","time","temp","expt"
"866","16",145,19.6666666666667,1
"867","19",145,21.6666666666667,1
"868","21",145,23,1
"869","23",145,24.3333333333333,1
"870","25",145,25.6666666666667,1
"871","13",146,15.3333333333333,1
"872","16",146,17.8333333333333,1
"873","19",146,20.3333333333333,1
"874","21",146,22,1
"875","23",146,23.6666666666667,1
"876","25",146,25.3333333333333,1
"877","13",147,13,1
"878","16",147,16,1
"879","19",147,19,1
"880","21",147,21,1
"881","23",147,23,1
"882","25",147,25,1
"883","13",148,15.3333333333333,1
"884","16",148,17.8333333333333,1
"885","19",148,20.3333333333333,1
"886","21",148,22,1
"887","23",148,23.6666666666667,1
"888","25",148,25.3333333333333,1
"889","13",149,17.6666666666667,1
"890","16",149,19.6666666666667,1
"891","19",149,21.6666666666667,1
"892","21",149,23,1
"893","23",149,24.3333333333333,1
"894","25",149,25.6666666666667,1
"895","13",150,20,1
"896","16",150,21.5,1
"897","19",150,23,1
"898","21",150,24,1
"899","23",150,25,1
"900","25",150,26,1
"901","13",151,22.3333333333333,1
"902","16",151,23.3333333333333,1
"903","19",151,24.3333333333333,1
"904","21",151,25,1
"905","23",151,25.6666666666667,1
"906","25",151,26.3333333333333,1
"907","13",152,24.6666666666667,1
"908","16",152,25.1666666666667,1
"909","19",152,25.6666666666667,1
"910","21",152,26,1
"911","23",152,26.3333333333333,1
"912","25",152,26.6666666666667,1
"913","13",153,27,1
"914","16",153,27,1
"915","19",153,27,1
"916","21",153,27,1
"917","23",153,27,1
"918","25",153,27,1
"919","13",154,28.3333333333333,1
"920","16",154,28.3333333333333,1
"921","19",154,28.3333333333333,1
"922","21",154,28.3333333333333,1
"923","23",154,28.3333333333333,1
"924","25",154,28.3333333333333,1
"925","13",155,29.6666666666667,1
"926","16",155,29.6666666666667,1
"927","19",155,29.6666666666667,1
"928","21",155,29.6666666666667,1
"929","23",155,29.6666666666667,1
"930","25",155,29.6666666666667,1
"931","13",156,31,1
"932","16",156,31,1
"933","19",156,31,1
"934","21",156,31,1
"935","23",156,31,1
"936","25",156,31,1
"937","13",157,32.3333333333333,1
"938","16",157,32.3333333333333,1
"939","19",157,32.3333333333333,1
"940","21",157,32.3333333333333,1
"941","23",157,32.3333333333333,1
"942","25",157,32.3333333333333,1
"943","13",158,33.6666666666667,1
"944","16",158,33.6666666666667,1
"945","19",158,33.6666666666667,1
